E(MeV),S(eV-b)
0.0025606644,0.1588702
0.0025199512,0.23486139
0.0031538417,0.23851353
0.0032047965,0.26165047
0.003782041,0.24347156
0.0041416115,0.23607251
0.0046086432,0.25632223
0.0045112027,0.23245774
0.0052111954,0.25369897
0.005737209,0.2409798
0.0061170626,0.25632223
0.006452749,0.2657192
0.006770589,0.2657192
0.007218861,0.27404743
0.0077794925,0.27688113
0.0082064085,0.24472709
0.00913181,0.27688113
0.009841004,0.29299837
0.010215997,0.2870318
0.01038105,0.30218163
0.011187265,0.29299837
0.012923165,0.28555924
0.014380455,0.33149466
0.015663745,0.30063134
0.017337207,0.32810205
0.0185841,0.33664948
0.020242516,0.3181311
0.021353366,0.33320412
0.02313498,0.33492237
0.037020773,0.41355202
0.043224588,0.46548712
0.049931645,0.4776136
0.07454007,0.6776032
0.10719201,0.6988408
0.13202302,0.9613337
0.17806561,1.1568875
0.1724483,1.2561226
0.38637316,3.0740724
0.5438747,4.037437
0.496656,4.1639795
0.63841695,5.6403112
0.6557002,6.2514267
0.9946718,8.733262
1.1551676,11.951944
1.4001408,14.235998
1.7061553,16.86955
1.6002076,17.668829
1.6880224,18.505976
1.8191177,18.98808
1.9087211,19.184418
1.9603941,20.301142
1.8783733,20.723146
1.8191177,22.270449
1.9395591,23.56681
2.1931448,23.32562
2.240516,24.683405
2.2525177,27.640682
2.493169,26.663193
2.3761294,25.067238
2.146775,31.433584
2.6020355,33.09268
2.9265592,36.490032
3.239223,40.23616
3.3536832,45.05679
3.5900824,45.289135
3.4307008,50.131615
3.88962,50.97668
4.12505,54.712475
3.968331,65.000824
4.5414295,58.722046
4.999838,63.02546
5.3768387,68.69613
5.585985,67.44572
5.834353,69.406456
6.1922174,75.41537
6.5021853,76.195175
6.8433194,79.16285
7.2298884,81.10586
5.442899,100.22068
7.953595,88.25726
7.9718266,96.03923
8.656753,98.97657
8.904691,105.04629
9.229905,107.151146
9.640291,106.7582
7.4483204,119.19787
9.258125,148.70381
